Review_ID,Rating,Review_Text,Sentiment,Complaint_Category,Churn_Risk
R001,1,"Employee misbehaved, order was cancelled, delivery was delayed and the overall service experience was very bad.",Negative,Staff Behaviour,High
R002,1,Biryani felt overrated and the cost was too high for the taste offered.,Negative,Pricing,High
R003,1,Chicken was found in veg biryani and the restaurant denied responsibility.,Negative,Food Quality,High
R004,1,Paneer biryani was overpriced and the quantity was very less for the money paid.,Negative,Pricing & Quantity,High
R005,1,"Taste has deteriorated, food was oily, service was delayed and staff response was poor.",Negative,Taste & Service,High
R006,1,Online food delivery was delayed for more than two hours with no proper response.,Negative,Delivery,High
R007,1,Food was too spicy and did not have good taste.,Negative,Taste,High
R008,1,"Taste was inconsistent, food quality was poor and prices felt high.",Negative,Taste & Pricing,High
R009,1,"Biryani was average, too spicy and not worth the price.",Negative,Taste,High
R010,1,"Quality has gone down, service was poor and prices have increased.",Negative,Food Quality & Service,High
R011,2,Average biryani with no memorable signature dish.,Negative,Taste,High
R012,2,Food taste has deteriorated and biryani has lost its original charm.,Negative,Taste & Food Quality,High
R013,2,Meghana special biryani was too spicy and lacked authentic biryani flavor.,Negative,Taste,High
R014,2,Veg biryani was disappointing and paneer preparation was not good.,Negative,Food Quality,High
R015,2,Chicken biryani was extremely spicy and difficult to eat.,Negative,Taste,High
R016,2,"Restaurant felt overhyped with long waiting time, dirty tables and spice overpowering the flavor.",Negative,Taste & Service,High
R017,3,"Food was nice and biryani tasted good, but the overall experience was only average.",Neutral,Taste,Medium
R018,3,"Meghana special biryani was good, but taste has reduced compared to earlier visits.",Neutral,Taste Decline,Medium
R019,3,Chicken was served separately from rice and the biryani flavor felt different.,Neutral,Food Quality,Medium
R020,3,Ordered special chicken biryani and egg biryani but taste did not meet expectations.,Neutral,Taste & Expectations,Medium
R021,3,Biryani is good but there is still scope to improve consistency.,Neutral,Product Quality,Medium
R022,3,"Good place for family dining and budget meals, but not exceptional.",Neutral,General Experience,Medium
R023,3,Good place for non-vegetarians with spicy food and many starter options.,Neutral,Food Quality,Low
R024,3,Felt the biryani was overrated and not as special as expected.,Neutral,Overrated Taste,Medium
R025,3,Food was spicy and price felt a little high for solo eating.,Neutral,Price & Service,Medium
R026,3,Boneless chicken biryani was good but ambience and service need improvement.,Neutral,Service,Medium
R027,3,"Biryani was average, too spicy and slightly expensive.",Neutral,Pricing & Taste,Medium
R028,3,Taste and service standards have started falling and delivery is slow.,Neutral,Service & Delivery,Medium
R029,3,"Fine biryani, large quantity and decent value for money.",Neutral,Value for Money,Low
R030,3,Average biryani quality and cost is high compared to competitors.,Neutral,Pricing,Medium
R031,3,Chicken biryani was average and the ambience was plain.,Neutral,Taste & Ambience,Medium
R032,3,Good biryani with unique taste but not best in class.,Neutral,Food Quality,Low
R033,3,Fresh and tasty food but too spicy for some customers.,Neutral,Spice Level,Medium
R034,3,Veg biryani was only okay and the restaurant felt hyped.,Neutral,Overhyped,Medium
R035,3,Food was nicely done but delivery service needs improvement.,Neutral,Service,Medium
R036,3,Food is good but tipping issue and waiter behavior spoiled the experience.,Neutral,Staff Behaviour,Medium
R037,3,Biryani was okay but not heavenly and ambience was cramped.,Neutral,Taste,Medium
R038,3,Good biryani for spicy food lovers but not suitable for everyone.,Neutral,Taste,Low
R039,3,Decent biryani but crowded restaurant and waiting time reduce the experience.,Neutral,Crowding,Medium
R040,4,"Hot, spicy and yummy biryanis with fast service and good value, though ambience is basic.",Positive,Taste,Low
R041,4,Special boneless chicken biryani was awesome and overall taste was delicious.,Positive,Taste,Low
R042,4,"Good biryani quality, value and taste though parking is not available.",Positive,Value for Money,Low
R043,4,"Good biryani and non-veg starters, home delivery option is useful.",Positive,Taste,Low
R044,4,Good place to grab chicken biryani and starters with decent value for money.,Positive,General Experience,Low
R045,4,Delicious biryani served well for team lunch.,Positive,Taste,Low
R046,4,Great Andhra-style non-veg food with prompt service and large portions.,Positive,Food Quality,Low
R047,4,"Worth trying for Andhra-style biryani with good taste, though waiting time is common.",Positive,Waiting Time,Low
R048,4,"Super biryani with awesome taste, variety and reasonable pricing.",Positive,Taste,Low
R049,4,Biryani tasted better than expected and was memorable.,Positive,Taste,Low
R050,4,Special boneless biryani had good quality and quantity with good ambience.,Positive,Food Quality,Low
R051,4,"Delicious biryanis with decent price and good quantity, but service could improve.",Positive,Service,Low
R052,4,"Awesome hot and spicy biryani, especially boneless chicken and prawn options.",Positive,Taste,Low
R053,4,"Good Andhra essence, quality and service for the price paid.",Positive,Value for Money,Low
R054,4,Famous biryani place with good non-veg items and spicy taste.,Positive,Taste,Low
R055,4,"Ideal place for biryani and chicken curry, good for groups.",Positive,Food Variety,Low
R056,4,Authentic Hyderabadi flavour but parking can be difficult.,Positive,Parking,Low
R057,4,Paradise for biryani lovers with delicious food and affordable pricing.,Positive,Taste,Low
R058,4,"Nice biryani with large portions, though staff hovered around during dining.",Positive,Service,Low
R059,4,"Best biryani in Bangalore with good veg and non-veg options, but tables fill fast.",Positive,Crowding,Low
R060,4,Authentic Andhra style biryani with good flavor and generous quantity.,Positive,Taste,Low
R061,4,Boneless chicken biryani was delicious and worth the price.,Positive,Value for Money,Low
R062,4,Food quality was consistently good and service was reasonably quick.,Positive,Food Quality,Low
R063,4,Great place for family dining though weekends are crowded.,Positive,Crowding,Low
R064,4,The Meghana Special Biryani was flavorful and satisfying.,Positive,Taste,Low
R065,4,Loved the biryani and starters. Ambience could be improved.,Positive,Ambience,Low
R066,4,Good quantity and authentic Andhra spices.,Positive,Taste,Low
R067,4,Chicken biryani was tasty and served hot.,Positive,Food Quality,Low
R068,4,Service was prompt despite the lunch rush.,Positive,Service,Low
R069,4,One of the better biryani places in Bangalore.,Positive,Taste,Low
R070,4,Food was excellent but parking was difficult.,Positive,Parking,Low
R071,4,Consistent taste across multiple visits.,Positive,Taste Consistency,Low
R072,4,Good value for money and decent seating.,Positive,Value for Money,Low
R073,4,Biryani portions were large enough for sharing.,Positive,Portion Size,Low
R074,4,Delivery arrived on time and food quality was maintained.,Positive,Delivery,Low
R075,4,Spicy but flavorful Andhra style biryani.,Positive,Taste,Low
R076,4,Restaurant was crowded but worth the wait.,Positive,Waiting Time,Low
R077,4,Fish biryani was surprisingly good and fresh.,Positive,Food Quality,Low
R078,4,Staff were polite and handled orders efficiently.,Positive,Service,Low
R079,4,Reasonable pricing for the quantity served.,Positive,Value for Money,Low
R080,4,A reliable choice for biryani lovers.,Positive,Taste,Low
R081,4,Chicken 65 and biryani combination was excellent.,Positive,Value for Money,Low
R082,4,Food quality remained consistent over the years.,Positive,Food Quality,Low
R083,4,Great takeaway option for family dinners.,Positive,Crowding,Low
R084,4,The biryani had authentic flavor and aroma.,Positive,Taste,Low
R085,4,Service was fast and food arrived fresh.,Positive,Ambience,Low
R086,4,Good restaurant though ambience is basic.,Positive,Taste,Low
R087,4,Enjoyed the boneless chicken biryani very much.,Positive,Food Quality,Low
R088,4,Food quality and quantity justify the price.,Positive,Service,Low
R089,4,Excellent Andhra flavors with decent service.,Positive,Taste,Low
R090,4,Good place to visit with friends and family.,Positive,Parking,Low
R091,4,Chicken was tender and perfectly cooked.,Positive,Taste Consistency,Low
