Branch_ID,Branch_Name,Region,Month,Orders,Revenue,Avg_Rating,Customer_Count,Repeat_Customers,New_Customers,Complaints,Delivery_Time_Min,Performance_Level,Branch_Status,Reason
K_01,Koramangala,South,2024-01,14788,6122232,4.6,11733,8447,3286,42,22,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_02,Koramangala,South,2024-02,14919,5505111,4.7,11248,7761,3487,56,22,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_03,Koramangala,South,2024-03,13215,4770615,4.8,9529,6575,2954,67,21,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_04,Koramangala,South,2024-04,14904,5946696,4.6,11604,8238,3366,76,25,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_05,Koramangala,South,2024-05,12189,4912167,4.5,9686,7167,2519,85,,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_06,Koramangala,South,2024-06,12646,5045754,4.6,10244,7273,2971,73,19,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_07,Koramangala,South,2024-07,14041,5602359,7.2,10383,7371,3012,87,19,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_08,Koramangala,South,2024-08,14556,5458500,4.7,10904,7414,3490,69,23,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_09,Koramangala,South,2024-09,13021,5234442,4.7,11129,8124,3005,76,21,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_10,Koramangala,South,2024-10,15615,6043005,4.8,12058,8922,3136,70,23,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_11,Koramangala,South,2024-11,15266,5984272,,12424,9318,3106,74,22,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_12,Koramangala,South,2024-12,16403,5806662,4.6,12243,8814,3429,79,18,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_13,Koramangala,South,2025-01,16753,6734706,4.7,14247,10685,3562,,25,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_14,Koramangala,South,2025-02,14640,5036160,4.7,12710,8897,3813,69,18,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_15,Koramangala,South,2025-03,14088,,4.8,10358,7354,3004,43,25,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_16,Koramangala,South,2025-04,12502,4788266,4.6,10276,7193,3083,58,22,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_17,Koramangala,South,2025-05,13570,4640940,-1,11422,8338,3084,71,24,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_18,Koramangala,South,2025-06,12502,5225836,4.7,9856,6702,3154,73,20,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
K_19,Koramangala,South,2025-07,14939,5841149,4.5,12102,8229,3873,66,24,High,Healthy,"Authentic taste, flagship outlet, huge footfall"
